Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.840682983398438,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,25.017345428466797,480500
1993-02-02,44.21875,44.375,44.125,44.34375,25.070348739624023,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.335359573364258,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.441368103027344,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.423723220825195,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.423723220825195,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.247041702270508,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.282377243041992,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.406051635742188,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.211706161499023,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.575668334960938,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.558000564575195,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.54032325744629,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.628664016723633,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.717016220092773,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.699338912963867,373700
1993-02-24,43.71875,44.25,43.71875,44.25,25.017345428466797,26300
1993-02-25,44.21875,44.375,44.125,44.34375,25.070348739624023,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.105693817138672,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.035022735595703,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.406051635742188,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.512046813964844,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.370708465576172,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.300037384033203,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.865407943725586,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.777076721191406,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.830060958862305,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.75941276550293,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.494382858276367,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.6180362701416,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.6180362701416,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.45906639099121,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.6180362701416,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.579286575317383,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.437280654907227,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.49053192138672,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,25.49053192138672,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.650291442871094,110100
1993-03-26,45.125,45.15625,44.875,44.90625,25.50829315185547,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.614791870117188,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.685800552368164,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.668031692504883,111600
1993-04-01,45.25,45.25,44.9375,45.03125,25.579286575317383,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.046756744384766,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.171031951904297,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.10000991821289,129700
1993-04-07,44.25,44.34375,44.15625,44.34375,25.188756942749023,28000
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.153249740600586,180800
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.50829315185547,348500
1993-04-13,44.875,45.15625,44.84375,45.0,25.5615291595459,146100
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.526042938232422,119600
1993-04-15,44.90625,45.03125,44.75,44.9375,25.526042938232422,148600
1993-04-16,44.96875,45.03125,44.875,44.9375,25.526042938232422,47900
1993-04-19,44.9375,45.0625,44.71875,44.75,25.41952133178711,157000
1993-04-20,44.6875,44.75,44.25,44.53125,25.29527473449707,279500
1993-04-21,44.625,44.625,44.375,44.5,25.277517318725586,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.958005905151367,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,24.85148811340332,106000
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.656230926513672,62600
1993-04-27,43.34375,43.875,43.34375,43.875,24.922494888305664,156800
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.86923599243164,85900
1993-04-29,43.875,43.96875,43.625,43.96875,24.975749969482422,85000
1993-04-30,44.125,44.28125,44.03125,44.03125,25.01125717163086,88500
1993-05-03,44.09375,44.3125,43.90625,44.3125,25.171031951904297,80500
1993-05-04,44.40625,44.625,44.34375,44.46875,25.259777069091797,149100
1993-05-05,44.46875,44.75,44.46875,44.59375,25.330780029296875,109000
1993-05-06,44.53125,44.5625,44.40625,44.4375,25.242013931274414,54700
